Company,TickerSymbol,Date,TotalRevenues,CostofSales,GrossProfit,SellingGeneral&AdministrativeExpenses,Research&DevelopmentExpenses,OperatingProfit,ConsolidatedNetIncome
Tesla,TSLA,6/30/2020,6 036,4 769,1 267,661,279,327,129
Tesla,TSLA,9/30/2020,8 771,6 708,2 063,888,366,809,369
Tesla,TSLA,12/31/2020,10 744,8 678,2 066,969,522,575,296
Tesla,TSLA,3/31/2021,10 389,8 174,2 215,1 056,666,594,464
Tesla,TSLA,6/30/2021,11 958,9 074,2 884,973,576,1 312,1 178
Tesla,TSLA,9/30/2021,13 757,10 097,3 660,994,611,2 004,1 659
Tesla,TSLA,12/31/2021,17 719,12 872,4 847,1 494,740,2 613,2 343
Tesla,TSLA,3/31/2022,18 756,13 296,5 460,992,865,3 603,3 280
Tesla,TSLA,6/30/2022,16 934,12 700,4 234,961,667,2 464,2 269
Tesla,TSLA,9/30/2022,21 454,16 072,5 382,961,733,3 688,3 331
Tesla,TSLA,12/31/2022,24 318,18 541,5 777,1 032,810,3 901,3 707
Tesla,TSLA,3/31/2023,23 329,18 818,4 511,1 076,771,2 664,2 539
Tesla,TSLA,6/30/2023,24 927,20 394,4 533,1 191,943,2 399,2 614
Tesla,TSLA,9/30/2023,23 350,19 172,4 178,1 253,1 161,1 764,1 878
Tesla,TSLA,12/31/2023,25 167,20 729,4 438,1 280,1 094,2 064,7 943
Tesla,TSLA,3/31/2024,21 301,17 605,3 696,1 374,1 151,1 171,1 405
Tesla,TSLA,6/30/2024,25 500,20 922,4 578,1 277,1 074,1 605,1 416
Tesla,TSLA,9/30/2024,25 182,20 185,4 997,1 186,1 039,2 717,2 189
Tesla,TSLA,12/31/2024,25 707,21 528,4 179,1 313,1 276,1 583,2 143
Tesla,TSLA,3/31/2025,19 335,16 182,3 153,1 251,1 409,399,420
Tesla,TSLA,6/30/2025,22 496,18 618,3 878,1 366,1 589,923,1 190
Tesla,TSLA,9/30/2025,28 095,23 041,5 054,1 562,1 630,1 624,1 389
Tesla,TSLA,12/31/2025,24 901,19 892,5 009,1 655,1 783,1 409,856
Tesla,TSLA,3/31/2026,22 387,17 667,4 720,1 833,1 946,941,491
Salesforce,CRM,1/31/2015,1 445,356,1 089,918,206,-35,-41
Salesforce,CRM,4/30/2015,1 511,382,1 129,913,222,31,4
Salesforce,CRM,7/31/2015,1 635,405,1 229,975,234,20,-1
Salesforce,CRM,10/31/2015,1 712,424,1 288,1 006,239,43,-25
Salesforce,CRM,1/31/2016,1 809,444,1 366,1 094,251,21,-26
Salesforce,CRM,4/30/2016,1 917,497,1 420,1 107,261,52,39
Salesforce,CRM,7/31/2016,2 037,526,1 511,1 187,292,33,230
Salesforce,CRM,10/31/2016,2 145,586,1 559,1 245,311,3,-37
Salesforce,CRM,1/31/2017,2 339,626,1 713,1 239,344,-23,-51
Salesforce,CRM,4/30/2017,2 397,651,1 746,1 366,376,4,1
Salesforce,CRM,7/31/2017,2 577,670,1 907,1 436,387,84,46
Salesforce,CRM,10/31/2017,2 701,714,1 987,1 438,394,155,107
Salesforce,CRM,1/31/2018,2 865,738,2 127,1 639,396,211,206
Salesforce,CRM,4/30/2018,3 006,767,2 239,1 624,424,191,344
Salesforce,CRM,7/31/2018,3 281,849,2 432,1 854,463,115,299
Salesforce,CRM,10/31/2018,3 392,889,2 503,1 930,481,92,105
Salesforce,CRM,1/31/2019,3 603,946,2 657,2 002,518,137,362
Salesforce,CRM,4/30/2019,3 737,914,2 823,2 059,554,210,392
Salesforce,CRM,7/31/2019,3 997,967,3 030,2 199,607,58,91
Salesforce,CRM,10/31/2019,4 513,1 134,3 379,2 540,774,65,-109
Salesforce,CRM,1/31/2020,4 851,1 220,3 631,2 836,831,-36,-248
Salesforce,CRM,4/30/2020,4 865,1 254,3 611,2 892,859,-140,99
Salesforce,CRM,7/31/2020,5 151,1 311,3 840,2 764,898,178,2 625
Salesforce,CRM,10/31/2020,5 419,1 394,4 025,2 899,902,224,1 081
Salesforce,CRM,1/31/2021,5 817,1 479,4 338,3 206,939,193,267
Salesforce,CRM,4/30/2021,5 963,1 555,4 408,3 103,951,354,469
Salesforce,CRM,7/31/2021,6 340,1 613,4 727,3 375,1 020,332,535
Salesforce,CRM,10/31/2021,6 863,1 844,5 019,3 778,1 203,38,468
Salesforce,CRM,1/31/2022,7 326,2 014,5 312,4 197,1 291,-176,-28
Salesforce,CRM,4/30/2022,7 411,2 045,5 366,4 028,1 318,20,28
Salesforce,CRM,7/31/2022,7 720,2 127,5 593,4 071,1 329,193,68
Salesforce,CRM,10/31/2022,7 837,2 088,5 749,4 009,1 280,460,210
Salesforce,CRM,1/31/2023,8 384,2 100,6 284,3 971,1 128,357,-98
Salesforce,CRM,4/30/2023,8 247,2 125,6 122,3 792,1 207,412,199
Salesforce,CRM,7/31/2023,8 603,2 113,6 490,3 745,1 220,1 476,1 267
Salesforce,CRM,10/31/2023,8 720,2 155,6 565,3 805,1 204,1 501,1 224
Salesforce,CRM,1/31/2024,9 287,2 148,7 139,4 069,1 275,1 622,1 446
Salesforce,CRM,4/30/2024,9 133,2 162,6 971,3 886,1 368,1 709,1 533
Salesforce,CRM,7/31/2024,9 325,2 159,7 166,3 935,1 349,1 783,1 429
Salesforce,CRM,10/31/2024,9 444,2 105,7 339,4 034,1 356,1 893,1 527
Salesforce,CRM,1/31/2025,9 993,2 217,7 776,4 238,1 420,1 820,1 708
Salesforce,CRM,4/30/2025,9 829,2 265,7 564,4 126,1 460,1 942,1 541
Salesforce,CRM,7/31/2025,10 236,2 242,7 994,4 177,1 481,2 332,1 887
Salesforce,CRM,10/31/2025,10 259,2 255,8 004,4 123,1 433,2 188,2 086
